category,rank,company,segment,domain,contact_count
Accounting Today Top 100 accounting firms,1,Deloitte,global_matrix,deloitte.com,0
Accounting Today Top 100 accounting firms,2,PwC,global_matrix,pwc.com,0
Accounting Today Top 100 accounting firms,3,Ernst & Young,global_matrix,ey.com,0
Accounting Today Top 100 accounting firms,4,KPMG,global_matrix,kpmg.com,0
Accounting Today Top 100 accounting firms,5,RSM,global_matrix,rsmus.com,0
Accounting Today Top 100 accounting firms,6,Baker Tilly,pe_platform,bakertilly.com,0
Accounting Today Top 100 accounting firms,7,BDO USA,global_matrix,bdo.com,0
Accounting Today Top 100 accounting firms,8,CBIZ,pe_platform,cbiz.com,0
Accounting Today Top 100 accounting firms,9,Grant Thornton,pe_platform,grantthornton.com,0
Accounting Today Top 100 accounting firms,10,Forvis Mazars,global_matrix,forvismazars.us,0
Accounting Today Top 100 accounting firms,11,CLA,mega_regional,claconnect.com,0
Accounting Today Top 100 accounting firms,12,Crowe,mega_regional,crowe.com,0
Accounting Today Top 100 accounting firms,13,Eisner Advisory Group,pe_platform,eisneramper.com,0
Accounting Today Top 100 accounting firms,14,Plante Moran,mega_regional,plantemoran.com,0
Accounting Today Top 100 accounting firms,15,CohnReznick,pe_platform,cohnreznick.com,0
Accounting Today Top 100 accounting firms,16,Citrin Cooperman,pe_platform,citrincooperman.com,0
Accounting Today Top 100 accounting firms,17,Cherry Bekaert,pe_platform,cherrybekaert.com,0
Accounting Today Top 100 accounting firms,18,Eide Bailly,mega_regional,eidebailly.com,0
Accounting Today Top 100 accounting firms,19,Armanino,pe_platform,armanino.com,0
Accounting Today Top 100 accounting firms,20,Aprio,pe_platform,aprio.com,0
Accounting Today Top 100 accounting firms,21,Wipfli,pe_platform,wipfli.com,0
Accounting Today Top 100 accounting firms,22,Withum,mega_regional,withum.com,0
Accounting Today Top 100 accounting firms,23,"Carr, Riggs & Ingram",pe_platform,cricpa.com,0
Accounting Today Top 100 accounting firms,24,Ascend,pe_platform,ascendtogether.com,0
Accounting Today Top 100 accounting firms,25,PKF O’Connor Davies,pe_platform,pkfod.com,0
Accounting Today Top 100 accounting firms,26,UHY,pe_platform,uhy-us.com,0
Accounting Today Top 100 accounting firms,27,Sikich,pe_platform,sikich.com,0
Accounting Today Top 100 accounting firms,28,Crete Professionals,pe_platform,cretepa.com,0
Accounting Today Top 100 accounting firms,29,Weaver,mega_regional,weaver.com,0
Accounting Today Top 100 accounting firms,30,Kearney & Co.,mega_regional,kearneyco.com,0
Accounting Today Top 100 accounting firms,31,HCVT,mega_regional,hcvt.com,0
Accounting Today Top 100 accounting firms,32,Novogradac & Co.,mega_regional,novoco.com,0
Accounting Today Top 100 accounting firms,33,BPM,mega_regional,bpm.com,0
Accounting Today Top 100 accounting firms,34,Whitley Penn,mega_regional,whitleypenn.com,0
Accounting Today Top 100 accounting firms,35,LBMC,mega_regional,lbmc.com,0
Accounting Today Top 100 accounting firms,36,RubinBrown,mega_regional,rubinbrown.com,0
Accounting Today Top 100 accounting firms,37,Doeren Mayhew,pe_platform,doeren.com,0
Accounting Today Top 100 accounting firms,38,"Frank, Rimerman + Co.",mega_regional,frankrimerman.com,0
Accounting Today Top 100 accounting firms,39,Rehmann,mega_regional,rehmann.com,0
Accounting Today Top 100 accounting firms,40,Cohen & Co.,pe_platform,cohencpa.com,0
Accounting Today Top 100 accounting firms,41,Platform Accounting Group,pe_platform,platformaccounting.com,0
Accounting Today Top 100 accounting firms,42,"Katz, Sapper & Miller",mega_regional,ksmcpa.com,0
Accounting Today Top 100 accounting firms,43,The Bonadio Group,regional_partner,bonadio.com,0
Accounting Today Top 100 accounting firms,44,BerryDunn,regional_partner,berrydunn.com,0
Accounting Today Top 100 accounting firms,45,Frazier & Deeter,pe_platform,frazierdeeter.com,0
Accounting Today Top 100 accounting firms,46,Schellman,pe_platform,schellman.com,0
Accounting Today Top 100 accounting firms,47,Elliott Davis,pe_platform,elliottdavis.com,0
Accounting Today Top 100 accounting firms,48,Sorren,pe_platform,sorren.com,0
Accounting Today Top 100 accounting firms,49,"Hill, Barth & King",regional_partner,hbkcpa.com,0
Accounting Today Top 100 accounting firms,50,Richey May,pe_platform,richeymay.com,0
Accounting Today Top 100 accounting firms,51,Warren Averett,regional_partner,warrenaverett.com,0
Accounting Today Top 100 accounting firms,52,Miller Cooper & Co.,regional_partner,millercooper.com,0
Accounting Today Top 100 accounting firms,53,Grassi,regional_partner,grassicpas.com,0
Accounting Today Top 100 accounting firms,54,Springline,pe_platform,springlineadvisory.com,0
Accounting Today Top 100 accounting firms,55,Kaufman Rossin,regional_partner,kaufmanrossin.com,0
Accounting Today Top 100 accounting firms,56,Anchin,pe_platform,anchin.com,0
Accounting Today Top 100 accounting firms,57,Blue & Co.,regional_partner,blueandco.com,0
Accounting Today Top 100 accounting firms,58,RKL,regional_partner,rklcpa.com,0
Accounting Today Top 100 accounting firms,59,Your Part-Time Controller,pe_platform,yptc.com,0
Accounting Today Top 100 accounting firms,60,Sax,pe_platform,saxllp.com,0
Accounting Today Top 100 accounting firms,61,Schneider Downs,regional_partner,schneiderdowns.com,0
Accounting Today Top 100 accounting firms,62,Prager Metis,regional_partner,pragermetis.com,0
Accounting Today Top 100 accounting firms,63,SC&H,regional_partner,schgroup.com,0
Accounting Today Top 100 accounting firms,64,Pinion,regional_partner,pinionglobal.com,0
Accounting Today Top 100 accounting firms,65,Bennett Thrasher,regional_partner,btcpa.net,0
Accounting Today Top 100 accounting firms,66,Smith + Howard,pe_platform,smith-howard.com,0
Accounting Today Top 100 accounting firms,67,Mauldin & Jenkins,regional_partner,mjcpa.com,0
Accounting Today Top 100 accounting firms,68,SingerLewak,regional_partner,singerlewak.com,0
Accounting Today Top 100 accounting firms,69,Dean Dorton,regional_partner,deandorton.com,0
Accounting Today Top 100 accounting firms,70,Clark Schaefer Hackett,regional_partner,cshco.com,0
Accounting Today Top 100 accounting firms,71,Wolf & Co.,regional_partner,wolfandco.com,0
Accounting Today Top 100 accounting firms,72,Aldrich,regional_partner,aldrichadvisors.com,0
Accounting Today Top 100 accounting firms,73,Lutz,regional_partner,lutz.us,0
Accounting Today Top 100 accounting firms,74,FGMK,regional_partner,fgmk.com,0
Accounting Today Top 100 accounting firms,75,Archer Lewis,pe_platform,archerlewis.com,0
Accounting Today Top 100 accounting firms,76,Anders,regional_partner,anderscpa.com,0
Accounting Today Top 100 accounting firms,77,PBMares,regional_partner,pbmares.com,0
Accounting Today Top 100 accounting firms,78,Rea,regional_partner,reacpa.com,0
Accounting Today Top 100 accounting firms,79,"Brown, Edwards & Co.",regional_partner,becpas.com,0
Accounting Today Top 100 accounting firms,80,Cain Watters & Associates,regional_partner,cainwatters.com,0
Accounting Today Top 100 accounting firms,81,KLR,regional_partner,kahnlitwin.com,0
Accounting Today Top 100 accounting firms,82,HoganTaylor,regional_partner,hogantaylor.com,0
Accounting Today Top 100 accounting firms,83,BMSS,regional_partner,bmss.com,0
Accounting Today Top 100 accounting firms,84,Sensiba,regional_partner,sensiba.com,0
Accounting Today Top 100 accounting firms,85,PYA,regional_partner,pyapc.com,0
Accounting Today Top 100 accounting firms,86,Gursey Schneider,regional_partner,gursey.com,0
Accounting Today Top 100 accounting firms,87,Smith Leonard,regional_partner,smith-leonard.com,0
Accounting Today Top 100 accounting firms,88,Clark Nuber,regional_partner,clarknuber.com,0
Accounting Today Top 100 accounting firms,89,GBQ,regional_partner,gbq.com,0
Accounting Today Top 100 accounting firms,90,HHM CPAs,regional_partner,hhmcpas.com,0
Accounting Today Top 100 accounting firms,91,Nichols Cauley,pe_platform,nicholscauley.com,0
Accounting Today Top 100 accounting firms,92,Miller Kaplan,regional_partner,millerkaplan.com,0
Accounting Today Top 100 accounting firms,93,AAFCPAs,regional_partner,aafcpa.com,0
Accounting Today Top 100 accounting firms,94,Prosperity Partners,pe_platform,prosperityllc.com,0
Accounting Today Top 100 accounting firms,95,Wiss & Co.,regional_partner,wiss.com,0
Accounting Today Top 100 accounting firms,96,Haynie & Co.,regional_partner,hayniecpas.com,0
Accounting Today Top 100 accounting firms,97,REDW,regional_partner,redw.com,0
Accounting Today Top 100 accounting firms,98,Baker Newman Noyes,regional_partner,bnncpa.com,0
Accounting Today Top 100 accounting firms,99,Kemper CPA Group,regional_partner,kempercpa.com,0
Accounting Today Top 100 accounting firms,100,YHB,regional_partner,yhbcpa.com,0
