category,rank,company,segment,domain,contact_count
AmLaw 100 law firms,1,Kirkland & Ellis,Combined (Hub-and-Spoke),kirkland.com,0
AmLaw 100 law firms,2,Latham & Watkins,Combined (Hub-and-Spoke),lw.com,0
AmLaw 100 law firms,3,DLA Piper,Combined (Hub-and-Spoke),dlapiper.com,0
AmLaw 100 law firms,4,"Gibson, Dunn & Crutcher",Partner/Lawyer-Led,gibsondunn.com,0
AmLaw 100 law firms,5,"Skadden, Arps, Slate, Meagher & Flom",Combined (Hub-and-Spoke),skadden.com,0
AmLaw 100 law firms,6,Sidley Austin,Combined (Hub-and-Spoke),sidley.com,0
AmLaw 100 law firms,7,Ropes & Gray,Central Team,ropesgray.com,0
AmLaw 100 law firms,8,Baker McKenzie,Combined (Hub-and-Spoke),bakermckenzie.com,0
AmLaw 100 law firms,9,White & Case,Combined (Hub-and-Spoke),whitecase.com,0
AmLaw 100 law firms,10,Simpson Thacher & Bartlett,Partner/Lawyer-Led,stblaw.com,0
AmLaw 100 law firms,11,"Morgan, Lewis & Bockius",Combined (Hub-and-Spoke),morganlewis.com,0
AmLaw 100 law firms,12,Hogan Lovells,Combined (Hub-and-Spoke),hoganlovells.com,0
AmLaw 100 law firms,13,"Paul, Weiss, Rifkind, Wharton & Garrison",Partner/Lawyer-Led,paulweiss.com,0
AmLaw 100 law firms,14,Davis Polk & Wardwell,Partner/Lawyer-Led,davispolk.com,0
AmLaw 100 law firms,15,Jones Day,Combined (Hub-and-Spoke),jonesday.com,0
AmLaw 100 law firms,16,McDermott Will & Emery,Central Team,mwe.com,0
AmLaw 100 law firms,17,Greenberg Traurig,Combined (Hub-and-Spoke),gtlaw.com,0
AmLaw 100 law firms,18,Dentons,Combined (Hub-and-Spoke),dentons.com,0
AmLaw 100 law firms,19,Norton Rose Fulbright,Combined (Hub-and-Spoke),nortonrosefulbright.com,0
AmLaw 100 law firms,20,Quinn Emanuel Urquhart & Sullivan,Partner/Lawyer-Led,quinnemanuel.com,0
AmLaw 100 law firms,21,Goodwin Procter,Industry Vertical,goodwinlaw.com,0
AmLaw 100 law firms,22,Paul Hastings,Central Team,paulhastings.com,0
AmLaw 100 law firms,23,King & Spalding,Central Team,kslaw.com,0
AmLaw 100 law firms,24,Cooley,Industry Vertical,cooley.com,0
AmLaw 100 law firms,25,Sullivan & Cromwell,Partner/Lawyer-Led,sullcrom.com,0
AmLaw 100 law firms,26,Holland & Knight,Combined (Hub-and-Spoke),hklaw.com,0
AmLaw 100 law firms,27,Mayer Brown,Combined (Hub-and-Spoke),mayerbrown.com,0
AmLaw 100 law firms,28,Milbank,Partner/Lawyer-Led,milbank.com,0
AmLaw 100 law firms,29,"Weil, Gotshal & Manges",Partner/Lawyer-Led,weil.com,0
AmLaw 100 law firms,30,Covington & Burling,Industry Vertical,cov.com,0
AmLaw 100 law firms,31,Willkie Farr & Gallagher,Central Team,willkie.com,0
AmLaw 100 law firms,32,Cleary Gottlieb Steen & Hamilton,Partner/Lawyer-Led,clearygottlieb.com,0
AmLaw 100 law firms,33,Troutman Pepper Locke,Combined (Hub-and-Spoke),troutman.com,0
AmLaw 100 law firms,34,"Orrick, Herrington & Sutcliffe",Industry Vertical,orrick.com,0
AmLaw 100 law firms,35,Debevoise & Plimpton,Partner/Lawyer-Led,debevoise.com,0
AmLaw 100 law firms,36,Akin Gump Strauss Hauer & Feld,Central Team,akingump.com,0
AmLaw 100 law firms,37,Wilson Sonsini Goodrich & Rosati,Industry Vertical,wsgr.com,0
AmLaw 100 law firms,38,Wilmer Cutler Pickering Hale and Dorr,Central Team,wilmerhale.com,0
AmLaw 100 law firms,39,Dechert,Central Team,dechert.com,0
