category,rank,company,segment,domain,contact_count
Business Insurance Top 100 insurance brokerages,1,Marsh,enterprise_matrixed,marsh.com,0
Business Insurance Top 100 insurance brokerages,2,Arthur J. Gallagher & Co.,enterprise_matrixed,ajg.com,0
Business Insurance Top 100 insurance brokerages,3,Aon,enterprise_matrixed,aon.com,0
Business Insurance Top 100 insurance brokerages,4,Alliant Insurance Services,pe_platform_national,alliant.com,0
Business Insurance Top 100 insurance brokerages,5,Brown & Brown,public_acquirer,bbinsurance.com,0
Business Insurance Top 100 insurance brokerages,6,Willis Towers Watson,enterprise_matrixed,wtwco.com,0
Business Insurance Top 100 insurance brokerages,7,Hub,pe_platform_national,hubinternational.com,0
Business Insurance Top 100 insurance brokerages,8,Lockton,private_national,lockton.com,0
Business Insurance Top 100 insurance brokerages,9,Acrisure,pe_platform_national,acrisure.com,0
Business Insurance Top 100 insurance brokerages,10,USI,pe_platform_national,usi.com,0
Business Insurance Top 100 insurance brokerages,11,BroadStreet Partners,pe_rollup,broadstreetcorp.com,0
Business Insurance Top 100 insurance brokerages,12,The Baldwin Group,public_acquirer,baldwin.com,0
Business Insurance Top 100 insurance brokerages,13,Alera Group,pe_platform_national,aleragroup.com,0
Business Insurance Top 100 insurance brokerages,14,EPIC Insurance Brokers,pe_platform_national,epicbrokers.com,0
Business Insurance Top 100 insurance brokerages,15,OneDigital,pe_platform_national,onedigital.com,0
Business Insurance Top 100 insurance brokerages,16,Higginbotham,private_national,higginbotham.com,0
Business Insurance Top 100 insurance brokerages,17,IMA Financial Group,private_national,imacorp.com,0
Business Insurance Top 100 insurance brokerages,18,Trucordia,pe_rollup,trucordia.com,0
Business Insurance Top 100 insurance brokerages,19,Foundation Risk Partners,pe_rollup,foundationrp.com,0
Business Insurance Top 100 insurance brokerages,20,Howden Insurance Brokers,pe_platform_national,howdengroup.com,0
Business Insurance Top 100 insurance brokerages,21,High Street Insurance Partners,pe_rollup,hsip.com,0
Business Insurance Top 100 insurance brokerages,22,The Hilb Group,pe_rollup,hilbgroup.com,0
Business Insurance Top 100 insurance brokerages,23,World Insurance Associates,pe_rollup,worldinsurance.com,0
Business Insurance Top 100 insurance brokerages,24,Patriot Growth Insurance Services,pe_rollup,patriotgis.com,0
Business Insurance Top 100 insurance brokerages,25,Leavitt Group,private_national,leavitt.com,0
Business Insurance Top 100 insurance brokerages,26,Keystone Agency Partners,pe_rollup,keystoneagencypartners.com,0
Business Insurance Top 100 insurance brokerages,27,Holmes Murphy & Associates,private_national,holmesmurphy.com,0
Business Insurance Top 100 insurance brokerages,28,Automatic Data Processing Insurance Agency,payroll_captive,adp.com,0
Business Insurance Top 100 insurance brokerages,29,Cottingham & Butler,private_national,cottinghambutler.com,0
Business Insurance Top 100 insurance brokerages,30,Relation Insurance,pe_rollup,relationinsurance.com,0
Business Insurance Top 100 insurance brokerages,31,CBIZ Benefits & Insurance,public_acquirer,cbiz.com,0
Business Insurance Top 100 insurance brokerages,32,Insurance Office of America,private_national,ioausa.com,0
Business Insurance Top 100 insurance brokerages,33,Alkeme,pe_rollup,alkemeins.com,0
Business Insurance Top 100 insurance brokerages,34,Cross Insurance,regional_producer,crossagency.com,0
Business Insurance Top 100 insurance brokerages,35,Unison Risk Advisors,private_national,unisonriskadvisors.com,0
Business Insurance Top 100 insurance brokerages,36,Inszone Insurance Services,pe_rollup,inszoneinsurance.com,0
Business Insurance Top 100 insurance brokerages,37,Hylant Group,private_national,hylant.com,0
Business Insurance Top 100 insurance brokerages,38,Heffernan Group,private_national,heffins.com,0
Business Insurance Top 100 insurance brokerages,39,The Liberty Company,pe_rollup,libertycompany.com,0
Business Insurance Top 100 insurance brokerages,40,Insurica,private_national,insurica.com,0
Business Insurance Top 100 insurance brokerages,41,Sunstar Insurance Group,pe_rollup,sunstarinsurancegroup.com,0
Business Insurance Top 100 insurance brokerages,42,Oakbridge Insurance Agency,pe_rollup,oakbridgeinsurance.com,0
Business Insurance Top 100 insurance brokerages,43,TrueNorth Cos.,regional_producer,truenorthcompanies.com,0
Business Insurance Top 100 insurance brokerages,44,M3 Insurance Solutions,regional_producer,m3ins.com,0
Business Insurance Top 100 insurance brokerages,45,Lawley,regional_producer,lawleyinsurance.com,0
Business Insurance Top 100 insurance brokerages,46,Shepherd Insurance,regional_producer,shepherdins.com,0
Business Insurance Top 100 insurance brokerages,47,Marshall & Sterling,regional_producer,marshallsterling.com,0
Business Insurance Top 100 insurance brokerages,48,Legacy Risk Solutions,pe_rollup,legacyrisksolutions.com,0
Business Insurance Top 100 insurance brokerages,49,Sterling Seacrest Pritchard,regional_producer,sspins.com,0
Business Insurance Top 100 insurance brokerages,50,Houchens Insurance,regional_producer,houchensinsurance.com,0
Business Insurance Top 100 insurance brokerages,51,Towne Insurance Agency,bank_captive,towneinsurance.com,0
Business Insurance Top 100 insurance brokerages,52,James A. Scott & Son (Scott Insurance),regional_producer,scottins.com,0
Business Insurance Top 100 insurance brokerages,53,Sterling & Sterling (SterlingRisk),regional_producer,sterlingrisk.com,0
Business Insurance Top 100 insurance brokerages,54,King Risk Partners,pe_rollup,king-insurance.com,0
Business Insurance Top 100 insurance brokerages,55,Superior Insurance Partners,pe_rollup,superiorinsurance.com,0
Business Insurance Top 100 insurance brokerages,56,Robertson Ryan Insurance,regional_producer,robertsonryan.com,0
Business Insurance Top 100 insurance brokerages,57,Starkweather & Shepley Insurance Brokerage,regional_producer,starshep.com,0
Business Insurance Top 100 insurance brokerages,58,Insurors Group LLC,regional_producer,insurors.com,0
Business Insurance Top 100 insurance brokerages,59,"Bowen, Miclette & Britt Insurance Agency",regional_producer,bmbinc.com,0
