category,rank,company,domain,status,notes
Business Insurance Top 100 insurance brokerages,1,Marsh McLennan,marsh.com,ground_truth,Ground truth source; original ranking type: BI Top 100 U.S. Brokers
Business Insurance Top 100 insurance brokerages,2,Aon,aon.com,ground_truth,Ground truth source; original ranking type: BI Top 100 U.S. Brokers
Business Insurance Top 100 insurance brokerages,3,Arthur J. Gallagher & Co.,ajg.com,ground_truth,Ground truth source; original ranking type: BI Top 100 U.S. Brokers
Business Insurance Top 100 insurance brokerages,4,Willis Towers Watson,wtwco.com,ground_truth,Ground truth source; original ranking type: BI Top 100 U.S. Brokers
Business Insurance Top 100 insurance brokerages,5,Alliant Insurance Services,alliant.com,ground_truth,Ground truth source; original ranking type: BI Top 100 U.S. Brokers
Business Insurance Top 100 insurance brokerages,6,Brown & Brown,bbinsurance.com,ground_truth,Ground truth source; original ranking type: BI Top 100 U.S. Brokers
Business Insurance Top 100 insurance brokerages,7,Hub International,hubinternational.com,ground_truth,Ground truth source; original ranking type: BI Top 100 U.S. Brokers
Business Insurance Top 100 insurance brokerages,8,Acrisure,acrisure.com,ground_truth,Ground truth source; original ranking type: BI Top 100 U.S. Brokers
Business Insurance Top 100 insurance brokerages,9,Lockton,lockton.com,ground_truth,Ground truth source; original ranking type: BI Top 100 U.S. Brokers
Business Insurance Top 100 insurance brokerages,10,AssuredPartners,assuredpartners.com,ground_truth,Ground truth source; original ranking type: BI Top 100 U.S. Brokers
Business Insurance Top 100 insurance brokerages,11,USI Insurance Services,usi.com,ground_truth,Ground truth source; original ranking type: BI Top 100 U.S. Brokers
Business Insurance Top 100 insurance brokerages,12,BroadStreet Partners,broadstreetcorp.com,ground_truth,Ground truth source; original ranking type: BI Top 100 U.S. Brokers
Business Insurance Top 100 insurance brokerages,13,Risk Strategies (Accession Risk),risk-strategies.com,ground_truth,Ground truth source; original ranking type: BI Top 100 U.S. Brokers
Business Insurance Top 100 insurance brokerages,14,Alera Group,aleragroup.com,ground_truth,Ground truth source; original ranking type: BI Top 100 U.S. Brokers
Business Insurance Top 100 insurance brokerages,15,The Baldwin Group,baldwin.com,ground_truth,Ground truth source; original ranking type: BI Top 100 U.S. Brokers
Business Insurance Top 100 insurance brokerages,16,EPIC Insurance Brokers,epicbrokers.com,ground_truth,Ground truth source; original ranking type: BI Top 100 U.S. Brokers
Business Insurance Top 100 insurance brokerages,17,OneDigital,onedigital.com,ground_truth,Ground truth source; original ranking type: BI Top 100 U.S. Brokers
Business Insurance Top 100 insurance brokerages,18,Trucordia,trucordia.com,ground_truth,Ground truth source; original ranking type: BI Top 100 U.S. Brokers
Business Insurance Top 100 insurance brokerages,19,Higginbotham,higginbotham.com,ground_truth,Ground truth source; original ranking type: BI Top 100 U.S. Brokers
Business Insurance Top 100 insurance brokerages,20,IMA Financial Group,imacorp.com,ground_truth,Ground truth source; original ranking type: BI Top 100 U.S. Brokers
Business Insurance Top 100 insurance brokerages,21,Foundation Risk Partners,foundationrp.com,ground_truth,Ground truth source; original ranking type: BI Top 100 U.S. Brokers
Business Insurance Top 100 insurance brokerages,22,The Hilb Group,hilbgroup.com,ground_truth,Ground truth source; original ranking type: BI Top 100 U.S. Brokers
Business Insurance Top 100 insurance brokerages,23,World Insurance Associates,worldinsurance.com,ground_truth,Ground truth source; original ranking type: BI Top 100 U.S. Brokers
Business Insurance Top 100 insurance brokerages,24,High Street Insurance Partners,hsip.com,ground_truth,Ground truth source; original ranking type: BI Top 100 U.S. Brokers
Business Insurance Top 100 insurance brokerages,25,Patriot Growth Insurance Services,patriotgis.com,ground_truth,Ground truth source; original ranking type: BI Top 100 U.S. Brokers
Business Insurance Top 100 insurance brokerages,26,Leavitt Group,leavitt.com,ground_truth,Ground truth source; original ranking type: BI Top 100 U.S. Brokers
Business Insurance Top 100 insurance brokerages,27,Holmes Murphy & Associates,holmesmurphy.com,ground_truth,Ground truth source; original ranking type: BI Top 100 U.S. Brokers
Business Insurance Top 100 insurance brokerages,28,Automatic Data Processing Insurance Agency,adp.com,ground_truth,Ground truth source; original ranking type: BI Top 100 U.S. Brokers
Business Insurance Top 100 insurance brokerages,29,Cottingham & Butler,cottinghambutler.com,ground_truth,Ground truth source; original ranking type: BI Top 100 U.S. Brokers
Business Insurance Top 100 insurance brokerages,30,CBIZ Benefits & Insurance,cbiz.com,ground_truth,Ground truth source; original ranking type: BI Top 100 U.S. Brokers
Business Insurance Top 100 insurance brokerages,31,Keystone Agency Partners,keystoneagencypartners.com,ground_truth,Ground truth source; original ranking type: BI Top 100 U.S. Brokers
Business Insurance Top 100 insurance brokerages,32,Insurance Office of America,ioausa.com,ground_truth,Ground truth source; original ranking type: BI Top 100 U.S. Brokers
Business Insurance Top 100 insurance brokerages,33,Relation Insurance,relationinsurance.com,ground_truth,Ground truth source; original ranking type: BI Top 100 U.S. Brokers
Business Insurance Top 100 insurance brokerages,34,Cross Insurance,crossagency.com,ground_truth,Ground truth source; original ranking type: BI Top 100 U.S. Brokers
Business Insurance Top 100 insurance brokerages,35,CAC Group,cacgroup.com,ground_truth,Ground truth source; original ranking type: BI Top 100 U.S. Brokers
Business Insurance Top 100 insurance brokerages,36,Paychex Insurance Agency,paychex.com,ground_truth,Ground truth source; original ranking type: BI Top 100 U.S. Brokers
Business Insurance Top 100 insurance brokerages,37,Newfront,newfront.com,ground_truth,Ground truth source; original ranking type: BI Top 100 U.S. Brokers
Business Insurance Top 100 insurance brokerages,38,Unison Risk Advisors,unisonriskadvisors.com,ground_truth,Ground truth source; original ranking type: BI Top 100 U.S. Brokers
Business Insurance Top 100 insurance brokerages,39,Hylant Group,hylant.com,ground_truth,Ground truth source; original ranking type: BI Top 100 U.S. Brokers
Business Insurance Top 100 insurance brokerages,40,Heffernan Group,heffins.com,ground_truth,Ground truth source; original ranking type: BI Top 100 U.S. Brokers
Business Insurance Top 100 insurance brokerages,41,Insurica,insurica.com,ground_truth,Ground truth source; original ranking type: BI Top 100 U.S. Brokers
Business Insurance Top 100 insurance brokerages,42,The Liberty Company,libertycompany.com,ground_truth,Ground truth source; original ranking type: BI Top 100 U.S. Brokers
Business Insurance Top 100 insurance brokerages,43,Alkeme,alkemeins.com,ground_truth,Ground truth source; original ranking type: BI Top 100 U.S. Brokers
Business Insurance Top 100 insurance brokerages,44,Inszone Insurance Services,inszoneinsurance.com,ground_truth,Ground truth source; original ranking type: BI Top 100 U.S. Brokers
Business Insurance Top 100 insurance brokerages,45,Sunstar Insurance Group,sunstarinsurancegroup.com,ground_truth,Ground truth source; original ranking type: BI Top 100 U.S. Brokers
Business Insurance Top 100 insurance brokerages,46,TrueNorth Cos.,truenorthcompanies.com,ground_truth,Ground truth source; original ranking type: BI Top 100 U.S. Brokers
Business Insurance Top 100 insurance brokerages,47,M3 Insurance Solutions,m3ins.com,ground_truth,Ground truth source; original ranking type: BI Top 100 U.S. Brokers
Business Insurance Top 100 insurance brokerages,48,Lawley,lawleyinsurance.com,ground_truth,Ground truth source; original ranking type: BI Top 100 U.S. Brokers
Business Insurance Top 100 insurance brokerages,49,Marshall & Sterling,marshallsterling.com,ground_truth,Ground truth source; original ranking type: BI Top 100 U.S. Brokers
Business Insurance Top 100 insurance brokerages,50,Oakbridge Insurance Agency,oakbridgeinsurance.com,ground_truth,Ground truth source; original ranking type: BI Top 100 U.S. Brokers
Business Insurance Top 100 insurance brokerages,51,Towne Insurance Agency,towneinsurance.com,ground_truth,Ground truth source; original ranking type: BI Top 100 U.S. Brokers
Business Insurance Top 100 insurance brokerages,52,Sterling Seacrest Pritchard,sspins.com,ground_truth,Ground truth source; original ranking type: BI Top 100 U.S. Brokers
Business Insurance Top 100 insurance brokerages,53,Shepherd Insurance,shepherdins.com,ground_truth,Ground truth source; original ranking type: BI Top 100 U.S. Brokers
Business Insurance Top 100 insurance brokerages,54,Houchens Insurance,houchensinsurance.com,ground_truth,Ground truth source; original ranking type: BI Top 100 U.S. Brokers
Business Insurance Top 100 insurance brokerages,55,James A. Scott & Son (Scott Insurance),scottins.com,ground_truth,Ground truth source; original ranking type: BI Top 100 U.S. Brokers
Business Insurance Top 100 insurance brokerages,56,Insurors,insurors.com,ground_truth,Ground truth source; original ranking type: BI Top 100 U.S. Brokers
Business Insurance Top 100 insurance brokerages,57,Sterling & Sterling (SterlingRisk),sterlingrisk.com,ground_truth,Ground truth source; original ranking type: BI Top 100 U.S. Brokers
Business Insurance Top 100 insurance brokerages,58,Robertson Ryan Insurance,robertsonryan.com,ground_truth,Ground truth source; original ranking type: BI Top 100 U.S. Brokers
Business Insurance Top 100 insurance brokerages,59,Starkweather & Shepley Insurance Brokerage,starshep.com,ground_truth,Ground truth source; original ranking type: BI Top 100 U.S. Brokers
Business Insurance Top 100 insurance brokerages,60,"Bowen, Miclette & Britt Insurance Agency",bmbinc.com,ground_truth,Ground truth source; original ranking type: BI Top 100 U.S. Brokers
Business Insurance Top 100 insurance brokerages,61,Huntington Insurance,huntington.com,ground_truth,Ground truth source; original ranking type: BI Top 100 U.S. Brokers
Business Insurance Top 100 insurance brokerages,62,Moreton & Co.,moreton.com,ground_truth,Ground truth source; original ranking type: BI Top 100 U.S. Brokers
Business Insurance Top 100 insurance brokerages,63,MJ Cos.,mjinsurance.com,ground_truth,Ground truth source; original ranking type: BI Top 100 U.S. Brokers
Business Insurance Top 100 insurance brokerages,64,Superior Insurance Partners,superiorinsurance.com,ground_truth,Ground truth source; original ranking type: BI Top 100 U.S. Brokers
Business Insurance Top 100 insurance brokerages,65,M&O Agencies (The Mahoney Group),mahoneygroup.com,ground_truth,Ground truth source; original ranking type: BI Top 100 U.S. Brokers
Business Insurance Top 100 insurance brokerages,66,Christensen,christensengroup.com,ground_truth,Ground truth source; original ranking type: BI Top 100 U.S. Brokers
Business Insurance Top 100 insurance brokerages,67,First Insurance (FNIC),fnicgroup.com,ground_truth,Ground truth source; original ranking type: BI Top 100 U.S. Brokers
Business Insurance Top 100 insurance brokerages,68,Partners,thepartnersgroup.com,ground_truth,Ground truth source; original ranking type: BI Top 100 U.S. Brokers
Business Insurance Top 100 insurance brokerages,69,Crest Insurance,crestins.com,ground_truth,Ground truth source; original ranking type: BI Top 100 U.S. Brokers
Business Insurance Top 100 insurance brokerages,70,Signers National,signersnational.com,ground_truth,Ground truth source; original ranking type: BI Top 100 U.S. Brokers
Business Insurance Top 100 insurance brokerages,71,King Insurance Partners,king-insurance.com,ground_truth,Ground truth source; original ranking type: BI Top 100 U.S. Brokers
Business Insurance Top 100 insurance brokerages,72,Frost Insurance Agency,frostbank.com,ground_truth,Ground truth source; original ranking type: BI Top 100 U.S. Brokers
Business Insurance Top 100 insurance brokerages,73,Choice Financial,choicefinancialgroup.com,ground_truth,Ground truth source; original ranking type: BI Top 100 U.S. Brokers
Business Insurance Top 100 insurance brokerages,74,Panorama Insurance Associates,panorama360.com,ground_truth,Ground truth source; original ranking type: BI Top 100 U.S. Brokers
Business Insurance Top 100 insurance brokerages,75,LP Insurance Services,lpins.net,ground_truth,Ground truth source; original ranking type: BI Top 100 U.S. Brokers
Business Insurance Top 100 insurance brokerages,76,Tricor Insurance,tricorinsurance.com,ground_truth,Ground truth source; original ranking type: BI Top 100 U.S. Brokers
Business Insurance Top 100 insurance brokerages,77,Charles L. Crane Agency,craneagency.com,ground_truth,Ground truth source; original ranking type: BI Top 100 U.S. Brokers
Business Insurance Top 100 insurance brokerages,78,Ansay & Associates,ansay.com,ground_truth,Ground truth source; original ranking type: BI Top 100 U.S. Brokers
Business Insurance Top 100 insurance brokerages,79,Rich & Cartmill,rcins.com,ground_truth,Ground truth source; original ranking type: BI Top 100 U.S. Brokers
Business Insurance Top 100 insurance brokerages,80,Reliance Partners,reliancepartners.com,ground_truth,Ground truth source; original ranking type: BI Top 100 U.S. Brokers
Business Insurance Top 100 insurance brokerages,81,OneGroup,onegroup.com,ground_truth,Ground truth source; original ranking type: BI Top 100 U.S. Brokers
Business Insurance Top 100 insurance brokerages,82,R&R Insurance Services,myknowledgebroker.com,ground_truth,Ground truth source; original ranking type: BI Top 100 U.S. Brokers
Business Insurance Top 100 insurance brokerages,83,Kapnick Insurance,kapnick.com,ground_truth,Ground truth source; original ranking type: BI Top 100 U.S. Brokers
Business Insurance Top 100 insurance brokerages,84,Hotchkiss Insurance,hiallc.com,ground_truth,Ground truth source; original ranking type: BI Top 100 U.S. Brokers
Business Insurance Top 100 insurance brokerages,85,Ross & Yerger Insurance,rossandyerger.com,ground_truth,Ground truth source; original ranking type: BI Top 100 U.S. Brokers
Business Insurance Top 100 insurance brokerages,86,"Swingle, Collins & Associates",swinglecollins.com,ground_truth,Ground truth source; original ranking type: BI Top 100 U.S. Brokers
Business Insurance Top 100 insurance brokerages,87,Gibson Insurance Agency (Gibson),thegibsonedge.com,ground_truth,Ground truth source; original ranking type: BI Top 100 U.S. Brokers
Business Insurance Top 100 insurance brokerages,88,Buckner,buckner.com,ground_truth,Ground truth source; original ranking type: BI Top 100 U.S. Brokers
Business Insurance Top 100 insurance brokerages,89,Brightline Insurance,brightlineins.com,ground_truth,Ground truth source; original ranking type: BI Top 100 U.S. Brokers
Business Insurance Top 100 insurance brokerages,90,Unico,unicogroup.com,ground_truth,Ground truth source; original ranking type: BI Top 100 U.S. Brokers
Business Insurance Top 100 insurance brokerages,91,Pacwest Alliance Insurance Services,pacwestalliance.com,ground_truth,Ground truth source; original ranking type: BI Top 100 U.S. Brokers
Business Insurance Top 100 insurance brokerages,92,Plexus,plexusgroupe.com,ground_truth,Ground truth source; original ranking type: BI Top 100 U.S. Brokers
Business Insurance Top 100 insurance brokerages,93,Tompkins Insurance Agencies,tompkinsins.com,ground_truth,Ground truth source; original ranking type: BI Top 100 U.S. Brokers
Business Insurance Top 100 insurance brokerages,94,Cason,thecasongroup.com,ground_truth,Ground truth source; original ranking type: BI Top 100 U.S. Brokers
Business Insurance Top 100 insurance brokerages,95,Seubert & Associates,seubert.com,ground_truth,Ground truth source; original ranking type: BI Top 100 U.S. Brokers
Business Insurance Top 100 insurance brokerages,96,Daniel & Henry,danielandhenry.com,ground_truth,Ground truth source; original ranking type: BI Top 100 U.S. Brokers
Business Insurance Top 100 insurance brokerages,97,Engle-Hambright & Davies (EHD),ehd-ins.com,ground_truth,Ground truth source; original ranking type: BI Top 100 U.S. Brokers
Business Insurance Top 100 insurance brokerages,98,Commercial Insurance Associates,ciains.com,ground_truth,Ground truth source; original ranking type: BI Top 100 U.S. Brokers
